tc,q,pl,pf,pk,lntc,lnq,lnpf,lnpk,lnpl
10.866,1787,2.2,26.5,164,2.385639,7.488294,3.277145,5.099866,.7884574
8.596,1918,1.7,12.9,158,2.151297,7.559038,2.557227,5.062595,.5306283
8.673,1930,1.8,22.6,157,2.160215,7.565275,3.11795,5.056246,.5877866
15.437,2028,2.1,24.4,163,2.736767,7.614805,3.194583,5.09375,.7419373
8.211,2057,1.8,10.3,161,2.105475,7.629004,2.332144,5.081404,.5877866
11.982,2084,1.8,21.3,156,2.483406,7.642045,3.058707,5.049856,.5877866
16.674,2226,2,34.3,217,2.813851,7.707962,3.535145,5.379897,.6931472
12.62,2304,2.3,23.6,161,2.535283,7.742402,3.161247,5.081404,.8329091
12.905,2341,2,20.7,183,2.557615,7.758334,3.030134,5.209486,.6931472
11.615,2353,1.7,12.9,167,2.452297,7.763446,2.557227,5.117994,.5306283
9.321,2367,1.8,10.3,161,2.23227,7.769379,2.332144,5.081404,.5877866
12.962,2451,2,20.7,163,2.562022,7.804251,3.030134,5.09375,.6931472
16.932,2457,2.2,36.2,170,2.829205,7.806696,3.589059,5.135798,.7884574
9.648,2507,1.8,10.3,174,2.266751,7.826842,2.332144,5.159055,.5877866
18.35,2530,2.3,33.5,197,2.90963,7.835975,3.511545,5.283204,.8329091
17.333,2576,1.9,22.5,162,2.852612,7.853993,3.113515,5.087596,.6418539
12.015,2607,1.8,10.3,155,2.486156,7.865955,2.332144,5.043425,.5877866
11.32,2870,1.8,10.3,167,2.426571,7.962067,2.332144,5.117994,.5877866
22.337,2993,2.3,33.5,176,3.106245,8.004031,3.511545,5.170484,.8329091
19.035,3202,2.3,23.6,170,2.946279,8.071531,3.161247,5.135798,.8329091
12.205,3286,1.6,17.8,183,2.501846,8.097426,2.879198,5.209486,.4700036
17.078,3312,1.7,28.8,190,2.837791,8.105308,3.360375,5.247024,.5306283
25.528,3498,2.1,30,170,3.239776,8.159946,3.401197,5.135798,.7419373
24.021,3538,2.1,30,176,3.178928,8.171317,3.401197,5.170484,.7419373
32.197,3794,2.1,35.1,159,3.471873,8.241177,3.558201,5.068904,.7419373
26.652,3841,2.3,28.5,157,3.282864,8.253488,3.349904,5.056246,.8329091
20.164,4014,2.1,24.4,161,3.003899,8.297544,3.194583,5.081404,.7419373
14.132,4217,1.5,18.1,172,2.648442,8.346879,2.895912,5.147494,.4054651
21.41,4305,2.1,24.4,203,3.063858,8.367533,3.194583,5.313206,.7419373
23.244,4494,2,20.7,167,3.146047,8.410499,3.030134,5.117994,.6931472
29.845,4764,2.2,29.1,195,3.396017,8.468843,3.370738,5.273,.7884574
32.318,5277,1.9,29.1,161,3.475624,8.571113,3.370738,5.081404,.6418539
21.988,5283,2,20.7,159,3.090497,8.572249,3.030134,5.068904,.6931472
35.229,5668,2.1,24.4,177,3.56187,8.642591,3.194583,5.17615,.7419373
17.467,5681,1.8,10.3,157,2.860313,8.644882,2.332144,5.056246,.5877866
22.828,5819,1.8,18.5,196,3.127988,8.668883,2.917771,5.278115,.5877866
33.154,6000,2.1,24.4,183,3.501163,8.699514,3.194583,5.209486,.7419373
32.228,6119,1.5,26.2,189,3.472836,8.719154,3.265759,5.241747,.4054651
34.168,6136,1.9,22.5,160,3.53129,8.721929,3.113515,5.075174,.6418539
40.594,7193,2.1,28.6,162,3.70362,8.880863,3.353407,5.087596,.7419373
33.354,7886,1.6,17.8,178,3.507178,8.972844,2.879198,5.181784,.4700036
64.542,8419,2.3,31.9,199,4.167316,9.038246,3.462606,5.293305,.8329091
41.238,8642,2.2,26.5,182,3.71936,9.064389,3.277145,5.204007,.7884574
47.993,8787,2.3,33.5,190,3.871055,9.081029,3.511545,5.247024,.8329091
69.878,9484,2.1,24.4,165,4.246751,9.157361,3.194583,5.105946,.7419373
44.894,9956,1.7,28.8,203,3.804304,9.205931,3.360375,5.313206,.5306283
67.12,11477,2.2,26.5,151,4.206482,9.348101,3.277145,5.01728,.7884574
73.05,11796,2.1,28.6,148,4.291144,9.375516,3.353407,4.997212,.7419373
139.422,14359,2.3,33.5,212,4.937505,9.572132,3.511545,5.356586,.8329091
119.939,16719,2.3,23.6,162,4.786983,9.724301,3.161247,5.087596,.8329091
